Addr	Port   Function		Alias
0x10	VPORT0_DIR			PORT_RAMD_DIR
0x11	VPORT0_OUT			PORT_RAMD_OUT, PORT_DACLO_OUT
0x12	VPORT0_IN			PORT_RAMD_IN
0x13	VPORT0_INTFLAGS		N/A
0x14	VPORT1_DIR			(set on initialization)
0x15	VPORT1_OUT			PORT_DACHI_OUT, PORT_RAMA07_OUT
0x16	VPORT1_IN			N/A
0x17	VPORT1_INTFLAGS		N/A
0x18	VPORT2_DIR			(set on initialization)
0x19	VPORT2_OUT			PORT_RAMA815_OUT
0x1a	VPORT2_IN			N/A
0x1b	VPORT2_INTFLAGS		N/A
0x1c	VPORT3_DIR			(set on initialization)
0x1d	VPORT3_OUT			PORT_nWRDAC_OUT, PORT_nRDRAM_OUT, PORT_nWRRAM_OUT
0x1e	VPORT3_IN			N/A
0x1f	VPORT3_INTFLAGS		N/A
0x6a4	PORTF_OUT			PORT_RAMA1618_OUT
